"Step","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=8, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MAX","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=128, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MAX","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=16, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MAX","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=64, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MAX","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MAX"
"1","0.30559998750686646","0.30559998750686646","0.30559998750686646","0.28759998083114624","0.28759998083114624","0.28759998083114624","0.1266999989748001","0.1266999989748001","0.1266999989748001","0.2529999911785126","0.2529999911785126","0.2529999911785126","0.010099999606609344","0.010099999606609344","0.010099999606609344","0.010799999348819256","0.010799999348819256","0.010799999348819256","0.008200000040233135","0.008200000040233135","0.008200000040233135","0.007999999448657036","0.007999999448657036","0.007999999448657036","0.1736999899148941","0.1736999899148941","0.1736999899148941","0.18310000002384186","0.18310000002384186","0.18310000002384186","0.06359999626874924","0.06359999626874924","0.06359999626874924","0.1607999950647354","0.1607999950647354","0.1607999950647354","0.03959999978542328","0.03959999978542328","0.03959999978542328","0.028199998661875725","0.028199998661875725","0.028199998661875725","0.016499999910593033","0.016499999910593033","0.016499999910593033","0.025100000202655792","0.025100000202655792","0.025100000202655792","0.07090000063180923","0.07090000063180923","0.07090000063180923","0.058399997651576996","0.058399997651576996","0.058399997651576996","0.03139999881386757","0.03139999881386757","0.03139999881386757","0.05570000037550926","0.05570000037550926","0.05570000037550926"
"12","0.5733999609947205","0.5733999609947205","0.5733999609947205","0.5730999708175659","0.5730999708175659","0.5730999708175659","0.1265999972820282","0.1265999972820282","0.1265999972820282","0.4657000005245209","0.4657000005245209","0.4657000005245209","0.07440000027418137","0.07440000027418137","0.07440000027418137","0.07580000162124634","0.07580000162124634","0.07580000162124634","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.06159999966621399","0.06159999966621399","0.06159999966621399","0.5016999840736389","0.5016999840736389","0.5016999840736389","0.5097000002861023","0.5097000002861023","0.5097000002861023","0.06199999898672104","0.06199999898672104","0.06199999898672104","0.3983999788761139","0.3983999788761139","0.3983999788761139","0.23899999260902405","0.23899999260902405","0.23899999260902405","0.20919999480247498","0.20919999480247498","0.20919999480247498","0.016499999910593033","0.016499999910593033","0.016499999910593033","0.16279999911785126","0.16279999911785126","0.16279999911785126","0.33149999380111694","0.33149999380111694","0.33149999380111694","0.32749998569488525","0.32749998569488525","0.32749998569488525","0.032899998128414154","0.032899998128414154","0.032899998128414154","0.2639999985694885","0.2639999985694885","0.2639999985694885"
"23","0.5874999761581421","0.5874999761581421","0.5874999761581421","0.5924000144004822","0.5924000144004822","0.5924000144004822","0.12939999997615814","0.12939999997615814","0.12939999997615814","0.4787999987602234","0.4787999987602234","0.4787999987602234","0.17809998989105225","0.17809998989105225","0.17809998989105225","0.16679999232292175","0.16679999232292175","0.16679999232292175","0.013799999840557575","0.013799999840557575","0.013799999840557575","0.14249999821186066","0.14249999821186066","0.14249999821186066","0.5568000078201294","0.5568000078201294","0.5568000078201294","0.5717999935150146","0.5717999935150146","0.5717999935150146","0.06149999797344208","0.06149999797344208","0.06149999797344208","0.43939998745918274","0.43939998745918274","0.43939998745918274","0.4194999933242798","0.4194999933242798","0.4194999933242798","0.4122999906539917","0.4122999906539917","0.4122999906539917","0.02149999886751175","0.02149999886751175","0.02149999886751175","0.31129997968673706","0.31129997968673706","0.31129997968673706","0.5030999779701233","0.5030999779701233","0.5030999779701233","0.5011000037193298","0.5011000037193298","0.5011000037193298","0.03529999777674675","0.03529999777674675","0.03529999777674675","0.3877999782562256","0.3877999782562256","0.3877999782562256"
"34","0.6279000043869019","0.6279000043869019","0.6279000043869019","0.632099986076355","0.632099986076355","0.632099986076355","0.1306999921798706","0.1306999921798706","0.1306999921798706","0.508899986743927","0.508899986743927","0.508899986743927","0.27140000462532043","0.27140000462532043","0.27140000462532043","0.27230000495910645","0.27230000495910645","0.27230000495910645","0.013299999758601189","0.013299999758601189","0.013299999758601189","0.23089998960494995","0.23089998960494995","0.23089998960494995","0.6297000050544739","0.6297000050544739","0.6297000050544739","0.6416000127792358","0.6416000127792358","0.6416000127792358","0.0640999972820282","0.0640999972820282","0.0640999972820282","0.4869999885559082","0.4869999885559082","0.4869999885559082","0.5151000022888184","0.5151000022888184","0.5151000022888184","0.5005999803543091","0.5005999803543091","0.5005999803543091","0.02329999953508377","0.02329999953508377","0.02329999953508377","0.4001999795436859","0.4001999795436859","0.4001999795436859","0.5566999912261963","0.5566999912261963","0.5566999912261963","0.5554999709129333","0.5554999709129333","0.5554999709129333","0.04010000079870224","0.04010000079870224","0.04010000079870224","0.4390999972820282","0.4390999972820282","0.4390999972820282"
"45","0.743399977684021","0.743399977684021","0.743399977684021","0.7533999681472778","0.7533999681472778","0.7533999681472778","0.13269999623298645","0.13269999623298645","0.13269999623298645","0.5959999561309814","0.5959999561309814","0.5959999561309814","0.39969998598098755","0.39969998598098755","0.39969998598098755","0.40129998326301575","0.40129998326301575","0.40129998326301575","0.0139999995008111","0.0139999995008111","0.0139999995008111","0.33009999990463257","0.33009999990463257","0.33009999990463257","0.8060999512672424","0.8060999512672424","0.8060999512672424","0.8237999677658081","0.8237999677658081","0.8237999677658081","0.06859999895095825","0.06859999895095825","0.06859999895095825","0.6292999982833862","0.6292999982833862","0.6292999982833862","0.6714000105857849","0.6714000105857849","0.6714000105857849","0.6823999881744385","0.6823999881744385","0.6823999881744385","0.02410000003874302","0.02410000003874302","0.02410000003874302","0.5322999954223633","0.5322999954223633","0.5322999954223633","0.7561999559402466","0.7561999559402466","0.7561999559402466","0.7554999589920044","0.7554999589920044","0.7554999589920044","0.044199999421834946","0.044199999421834946","0.044199999421834946","0.5866000056266785","0.5866000056266785","0.5866000056266785"
"56","0.8775999546051025","0.8775999546051025","0.8775999546051025","0.8805999755859375","0.8805999755859375","0.8805999755859375","0.14010000228881836","0.14010000228881836","0.14010000228881836","0.6985999941825867","0.6985999941825867","0.6985999941825867","0.6887999773025513","0.6887999773025513","0.6887999773025513","0.70169997215271","0.70169997215271","0.70169997215271","0.022599998861551285","0.022599998861551285","0.022599998861551285","0.543999969959259","0.543999969959259","0.543999969959259","0.9261999726295471","0.9261999726295471","0.9261999726295471","0.9380999803543091","0.9380999803543091","0.9380999803543091","0.07239999622106552","0.07239999622106552","0.07239999622106552","0.7184000015258789","0.7184000015258789","0.7184000015258789","0.9115999937057495","0.9115999937057495","0.9115999937057495","0.9213999509811401","0.9213999509811401","0.9213999509811401","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.7116999626159668","0.7116999626159668","0.7116999626159668","0.9200999736785889","0.9200999736785889","0.9200999736785889","0.9246000051498413","0.9246000051498413","0.9246000051498413","0.04989999905228615","0.04989999905228615","0.04989999905228615","0.7190999984741211","0.7190999984741211","0.7190999984741211"
"67","0.9156999588012695","0.9156999588012695","0.9156999588012695","0.9337999820709229","0.9337999820709229","0.9337999820709229","0.1387999951839447","0.1387999951839447","0.1387999951839447","0.733199954032898","0.733199954032898","0.733199954032898","0.9476999640464783","0.9476999640464783","0.9476999640464783","0.9521999955177307","0.9521999955177307","0.9521999955177307","0.0357000008225441","0.0357000008225441","0.0357000008225441","0.7245000004768372","0.7245000004768372","0.7245000004768372","0.9828999638557434","0.9828999638557434","0.9828999638557434","0.9853999614715576","0.9853999614715576","0.9853999614715576","0.07349999994039536","0.07349999994039536","0.07349999994039536","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.9881999492645264","0.9881999492645264","0.9881999492645264","0.9863999485969543","0.9863999485969543","0.9863999485969543","0.03619999811053276","0.03619999811053276","0.03619999811053276","0.7565000057220459","0.7565000057220459","0.7565000057220459","0.975600004196167","0.975600004196167","0.975600004196167","0.9786999821662903","0.9786999821662903","0.9786999821662903","0.054999999701976776","0.054999999701976776","0.054999999701976776","0.7604999542236328","0.7604999542236328","0.7604999542236328"
"78","0.9684999585151672","0.9684999585151672","0.9684999585151672","0.976699948310852","0.976699948310852","0.976699948310852","0.14409999549388885","0.14409999549388885","0.14409999549388885","0.7681999802589417","0.7681999802589417","0.7681999802589417","0.9923999905586243","0.9923999905586243","0.9923999905586243","0.9944999814033508","0.9944999814033508","0.9944999814033508","0.0625","0.0625","0.0625","0.7619999647140503","0.7619999647140503","0.7619999647140503","0.995199978351593","0.995199978351593","0.995199978351593","0.9939999580383301","0.9939999580383301","0.9939999580383301","0.07989999651908875","0.07989999651908875","0.07989999651908875","0.7700999975204468","0.7700999975204468","0.7700999975204468","0.9972999691963196","0.9972999691963196","0.9972999691963196","0.9966999888420105","0.9966999888420105","0.9966999888420105","0.0494999997317791","0.0494999997317791","0.0494999997317791","0.7671999931335449","0.7671999931335449","0.7671999931335449","0.9943999648094177","0.9943999648094177","0.9943999648094177","0.9924999475479126","0.9924999475479126","0.9924999475479126","0.07119999825954437","0.07119999825954437","0.07119999825954437","0.7730000019073486","0.7730000019073486","0.7730000019073486"
"89","0.9847999811172485","0.9847999811172485","0.9847999811172485","0.9910999536514282","0.9910999536514282","0.9910999536514282","0.14630000293254852","0.14630000293254852","0.14630000293254852","0.7833999991416931","0.7833999991416931","0.7833999991416931","0.9975000023841858","0.9975000023841858","0.9975000023841858","0.9975000023841858","0.9975000023841858","0.9975000023841858","0.08609999716281891","0.08609999716281891","0.08609999716281891","0.7718999981880188","0.7718999981880188","0.7718999981880188","0.9979999661445618","0.9979999661445618","0.9979999661445618","0.9977999925613403","0.9977999925613403","0.9977999925613403","0.0762999951839447","0.0762999951839447","0.0762999951839447","0.7719999551773071","0.7719999551773071","0.7719999551773071","0.9987999796867371","0.9987999796867371","0.9987999796867371","0.9985999464988708","0.9985999464988708","0.9985999464988708","0.06599999964237213","0.06599999964237213","0.06599999964237213","0.7723999619483948","0.7723999619483948","0.7723999619483948","0.9975000023841858","0.9975000023841858","0.9975000023841858","0.9985999464988708","0.9985999464988708","0.9985999464988708","0.07849999517202377","0.07849999517202377","0.07849999517202377","0.779699981212616","0.779699981212616","0.779699981212616"
"100","0.9901999831199646","0.9901999831199646","0.9901999831199646","0.9939000010490417","0.9939000010490417","0.9939000010490417","0.14499999582767487","0.14499999582767487","0.14499999582767487","0.7852999567985535","0.7852999567985535","0.7852999567985535","0.9983999729156494","0.9983999729156494","0.9983999729156494","0.9983999729156494","0.9983999729156494","0.9983999729156494","0.07759999483823776","0.07759999483823776","0.07759999483823776","0.7702999711036682","0.7702999711036682","0.7702999711036682","0.998699963092804","0.998699963092804","0.998699963092804","0.9989999532699585","0.9989999532699585","0.9989999532699585","0.08219999819993973","0.08219999819993973","0.08219999819993973","0.7753999829292297","0.7753999829292297","0.7753999829292297","0.9993999600410461","0.9993999600410461","0.9993999600410461","0.9994999766349792","0.9994999766349792","0.9994999766349792","0.07509999722242355","0.07509999722242355","0.07509999722242355","0.7727999687194824","0.7727999687194824","0.7727999687194824","0.9987999796867371","0.9987999796867371","0.9987999796867371","0.9995999932289124","0.9995999932289124","0.9995999932289124","0.08819999545812607","0.08819999545812607","0.08819999545812607","0.7820000052452087","0.7820000052452087","0.7820000052452087"
