"Step","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - ic1_acc","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - ic2_acc","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - iw_acc","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - test_acc","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=32, p_B=0.0, p_C=1.0, B=4, eps=0 - test_acc__MAX","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - ic1_acc","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - ic2_acc","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - iw_acc","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - test_acc","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=32, p_B=1.0, p_C=0.0, B=4, eps=0 - test_acc__MAX","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - ic1_acc","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - ic2_acc","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - iw_acc","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - test_acc","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=32, p_B=0.25, p_C=0.25, B=4, eps=0 - test_acc__MAX","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=32, p_B=0.5, p_C=0.5, B=4, eps=0 - test_acc__MAX","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - ic1_acc","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - ic2_acc","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - iw_acc","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - test_acc","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=32, p_B=0.75, p_C=0.25, B=4, eps=0 - test_acc__MAX","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - ic1_acc","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - ic2_acc","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - iw_acc","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - test_acc","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=32, p_B=0.25, p_C=0.75, B=4, eps=0 - test_acc__MAX","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - ic1_acc","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - ic1_acc__MIN","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - ic1_acc__MAX","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - ic2_acc","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - ic2_acc__MIN","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - ic2_acc__MAX","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - iw_acc","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - iw_acc__MIN","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - iw_acc__MAX","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - test_acc","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - test_acc__MIN","Readout, K=512, L=32, p_B=1.0, p_C=1.0, B=4, eps=0 - test_acc__MAX"
"1","0.07169999927282333","0.07169999927282333","0.07169999927282333","0.07539999485015869","0.07539999485015869","0.07539999485015869","0.031099999323487282","0.031099999323487282","0.031099999323487282","0.08579999953508377","0.08579999953508377","0.08579999953508377","0.0737999975681305","0.0737999975681305","0.0737999975681305","0.0802999958395958","0.0802999958395958","0.0802999958395958","0.034299999475479126","0.034299999475479126","0.034299999475479126","0.07800000160932541","0.07800000160932541","0.07800000160932541","0.04359999857842922","0.03720000013709068","0.04999999701976776","0.05374999903142452","0.04859999939799309","0.05889999866485596","0.03309999871999025","0.031099999323487282","0.035099998116493225","0.03684999980032444","0.034699998795986176","0.039000000804662704","0.0823499970138073","0.06599999964237213","0.09869999438524246","0.07114999741315842","0.04959999769926071","0.09269999712705612","0.03264999948441982","0.032099999487400055","0.03319999948143959","0.06485000066459179","0.05040000006556511","0.07930000126361847","0.0731000006198883","0.0731000006198883","0.0731000006198883","0.07899999618530273","0.07899999618530273","0.07899999618530273","0.030899999663233757","0.030899999663233757","0.030899999663233757","0.06369999796152115","0.06369999796152115","0.06369999796152115","0.05869999900460243","0.05869999900460243","0.05869999900460243","0.055799998342990875","0.055799998342990875","0.055799998342990875","0.029500000178813934","0.029500000178813934","0.029500000178813934","0.06669999659061432","0.06669999659061432","0.06669999659061432","0.08829999715089798","0.08829999715089798","0.08829999715089798","0.07750000059604645","0.07750000059604645","0.07750000059604645","0.03150000050663948","0.03150000050663948","0.03150000050663948","0.0714000016450882","0.0714000016450882","0.0714000016450882"
"12","0.44859999418258667","0.44859999418258667","0.44859999418258667","0.46769997477531433","0.46769997477531433","0.46769997477531433","0.031700000166893005","0.031700000166893005","0.031700000166893005","0.45809999108314514","0.45809999108314514","0.45809999108314514","0.48259997367858887","0.48259997367858887","0.48259997367858887","0.4966000020503998","0.4966000020503998","0.4966000020503998","0.03439999744296074","0.03439999744296074","0.03439999744296074","0.5185999870300293","0.5185999870300293","0.5185999870300293","0.2350499927997589","0.2329999953508377","0.23709999024868011","0.24809999018907547","0.2449999898672104","0.25119999051094055","0.036099998280406","0.03579999879002571","0.036399997770786285","0.1351499930024147","0.12709999084472656","0.14319999516010284","0.3870999962091446","0.3610999882221222","0.413100004196167","0.38099998235702515","0.369299978017807","0.3926999866962433","0.03464999794960022","0.032899998128414154","0.036399997770786285","0.29749999940395355","0.29089999198913574","0.30410000681877136","0.4519999921321869","0.4519999921321869","0.4519999921321869","0.4487999975681305","0.4487999975681305","0.4487999975681305","0.03439999744296074","0.03439999744296074","0.03439999744296074","0.39980000257492065","0.39980000257492065","0.39980000257492065","0.42409998178482056","0.42409998178482056","0.42409998178482056","0.41509997844696045","0.41509997844696045","0.41509997844696045","0.0340999998152256","0.0340999998152256","0.0340999998152256","0.3474999964237213","0.3474999964237213","0.3474999964237213","0.5123999714851379","0.5123999714851379","0.5123999714851379","0.48649999499320984","0.48649999499320984","0.48649999499320984","0.03370000049471855","0.03370000049471855","0.03370000049471855","0.4838999807834625","0.4838999807834625","0.4838999807834625"
"23","0.5356000065803528","0.5356000065803528","0.5356000065803528","0.5532999634742737","0.5532999634742737","0.5532999634742737","0.03449999913573265","0.03449999913573265","0.03449999913573265","0.545199990272522","0.545199990272522","0.545199990272522","0.5771999955177307","0.5771999955177307","0.5771999955177307","0.5907999873161316","0.5907999873161316","0.5907999873161316","0.03629999980330467","0.03629999980330467","0.03629999980330467","0.6096999645233154","0.6096999645233154","0.6096999645233154","0.3430500030517578","0.32510000467300415","0.3610000014305115","0.3619999885559082","0.36039999127388","0.3635999858379364","0.036399997770786285","0.03619999811053276","0.03659999743103981","0.1922999992966652","0.18639999628067017","0.19820000231266022","0.5072499811649323","0.49709999561309814","0.5173999667167664","0.504399985074997","0.5013999938964844","0.5073999762535095","0.037299999967217445","0.0364999994635582","0.038100000470876694","0.3956499844789505","0.39389997720718384","0.39739999175071716","0.5105999708175659","0.5105999708175659","0.5105999708175659","0.5203999876976013","0.5203999876976013","0.5203999876976013","0.0357000008225441","0.0357000008225441","0.0357000008225441","0.4499000012874603","0.4499000012874603","0.4499000012874603","0.5174999833106995","0.5174999833106995","0.5174999833106995","0.5087000131607056","0.5087000131607056","0.5087000131607056","0.030299998819828033","0.030299998819828033","0.030299998819828033","0.41509997844696045","0.41509997844696045","0.41509997844696045","0.5748999714851379","0.5748999714851379","0.5748999714851379","0.5699999928474426","0.5699999928474426","0.5699999928474426","0.033799998462200165","0.033799998462200165","0.033799998462200165","0.5634999871253967","0.5634999871253967","0.5634999871253967"
"34","0.7699999809265137","0.7699999809265137","0.7699999809265137","0.7815999984741211","0.7815999984741211","0.7815999984741211","0.034699998795986176","0.034699998795986176","0.034699998795986176","0.7694000005722046","0.7694000005722046","0.7694000005722046","0.7925999760627747","0.7925999760627747","0.7925999760627747","0.8242999911308289","0.8242999911308289","0.8242999911308289","0.04050000011920929","0.04050000011920929","0.04050000011920929","0.8432999849319458","0.8432999849319458","0.8432999849319458","0.4458499848842621","0.44419997930526733","0.44749999046325684","0.45194999873638153","0.4499000012874603","0.45399999618530273","0.03824999928474426","0.03799999877810478","0.03849999979138374","0.23399998992681503","0.23169998824596405","0.23629999160766602","0.5959499776363373","0.5938999652862549","0.5979999899864197","0.5961999893188477","0.5867999792098999","0.6055999994277954","0.038999998942017555","0.038599997758865356","0.039400000125169754","0.46479998528957367","0.45799997448921204","0.4715999960899353","0.6144999861717224","0.6144999861717224","0.6144999861717224","0.6275999546051025","0.6275999546051025","0.6275999546051025","0.03689999878406525","0.03689999878406525","0.03689999878406525","0.5410999655723572","0.5410999655723572","0.5410999655723572","0.608299970626831","0.608299970626831","0.608299970626831","0.6207000017166138","0.6207000017166138","0.6207000017166138","0.03359999880194664","0.03359999880194664","0.03359999880194664","0.5142999887466431","0.5142999887466431","0.5142999887466431","0.8115999698638916","0.8115999698638916","0.8115999698638916","0.809499979019165","0.809499979019165","0.809499979019165","0.03680000081658363","0.03680000081658363","0.03680000081658363","0.8078999519348145","0.8078999519348145","0.8078999519348145"
"45","0.9684000015258789","0.9684000015258789","0.9684000015258789","0.9702999591827393","0.9702999591827393","0.9702999591827393","0.041999999433755875","0.041999999433755875","0.041999999433755875","0.9704999923706055","0.9704999923706055","0.9704999923706055","0.9627999663352966","0.9627999663352966","0.9627999663352966","0.9714999794960022","0.9714999794960022","0.9714999794960022","0.04569999873638153","0.04569999873638153","0.04569999873638153","0.9827999472618103","0.9827999472618103","0.9827999472618103","0.472149983048439","0.46879997849464417","0.4754999876022339","0.48819999396800995","0.48809999227523804","0.48829999566078186","0.03914999961853027","0.03909999877214432","0.03920000046491623","0.2522999867796898","0.2458999902009964","0.2586999833583832","0.790149986743927","0.7849000096321106","0.7953999638557434","0.7974499762058258","0.7877999544143677","0.8070999979972839","0.0429999977350235","0.04209999740123749","0.04389999806880951","0.6093499660491943","0.6057999730110168","0.6128999590873718","0.8465999960899353","0.8465999960899353","0.8465999960899353","0.8669999837875366","0.8669999837875366","0.8669999837875366","0.045499999076128006","0.045499999076128006","0.045499999076128006","0.7282999753952026","0.7282999753952026","0.7282999753952026","0.8331999778747559","0.8331999778747559","0.8331999778747559","0.8458999991416931","0.8458999991416931","0.8458999991416931","0.038100000470876694","0.038100000470876694","0.038100000470876694","0.685699999332428","0.685699999332428","0.685699999332428","0.9837999939918518","0.9837999939918518","0.9837999939918518","0.9805999994277954","0.9805999994277954","0.9805999994277954","0.04309999942779541","0.04309999942779541","0.04309999942779541","0.9795999526977539","0.9795999526977539","0.9795999526977539"
"56","0.9965999722480774","0.9965999722480774","0.9965999722480774","0.9972999691963196","0.9972999691963196","0.9972999691963196","0.045499999076128006","0.045499999076128006","0.045499999076128006","0.9964999556541443","0.9964999556541443","0.9964999556541443","0.9924999475479126","0.9924999475479126","0.9924999475479126","0.9961999654769897","0.9961999654769897","0.9961999654769897","0.04649999737739563","0.04649999737739563","0.04649999737739563","0.9973999857902527","0.9973999857902527","0.9973999857902527","0.5402500033378601","0.5306000113487244","0.5498999953269958","0.5581499636173248","0.5500999689102173","0.5661999583244324","0.04249999858438969","0.041099999099969864","0.04389999806880951","0.28609998524188995","0.28279998898506165","0.28939998149871826","0.9441999793052673","0.939300000667572","0.9490999579429626","0.94964998960495","0.9440000057220459","0.955299973487854","0.05034999921917915","0.04939999803900719","0.05130000039935112","0.723499983549118","0.7209999561309814","0.7260000109672546","0.9734999537467957","0.9734999537467957","0.9734999537467957","0.9809999465942383","0.9809999465942383","0.9809999465942383","0.04829999804496765","0.04829999804496765","0.04829999804496765","0.8102999925613403","0.8102999925613403","0.8102999925613403","0.9649999737739563","0.9649999737739563","0.9649999737739563","0.9702999591827393","0.9702999591827393","0.9702999591827393","0.042899999767541885","0.042899999767541885","0.042899999767541885","0.7911999821662903","0.7911999821662903","0.7911999821662903","0.9993000030517578","0.9993000030517578","0.9993000030517578","0.9970999956130981","0.9970999956130981","0.9970999956130981","0.044599998742341995","0.044599998742341995","0.044599998742341995","0.9967999458312988","0.9967999458312988","0.9967999458312988"
"67","0.9989999532699585","0.9989999532699585","0.9989999532699585","0.9993999600410461","0.9993999600410461","0.9993999600410461","0.04609999805688858","0.04609999805688858","0.04609999805688858","0.9995999932289124","0.9995999932289124","0.9995999932289124","0.9973999857902527","0.9973999857902527","0.9973999857902527","0.9982999563217163","0.9982999563217163","0.9982999563217163","0.046299997717142105","0.046299997717142105","0.046299997717142105","0.9993000030517578","0.9993000030517578","0.9993000030517578","0.6143499910831451","0.5846999883651733","0.6439999938011169","0.6388499736785889","0.6033999919891357","0.674299955368042","0.04924999922513962","0.04569999873638153","0.052799999713897705","0.3239999860525131","0.31189998984336853","0.3360999822616577","0.989799976348877","0.9887999892234802","0.9907999634742737","0.9902499914169312","0.9901999831199646","0.9902999997138977","0.05360000021755695","0.05260000005364418","0.05460000038146973","0.7563999593257904","0.7561999559402466","0.7565999627113342","0.9898999929428101","0.9898999929428101","0.9898999929428101","0.9921999573707581","0.9921999573707581","0.9921999573707581","0.054899998009204865","0.054899998009204865","0.054899998009204865","0.8227999806404114","0.8227999806404114","0.8227999806404114","0.9937999844551086","0.9937999844551086","0.9937999844551086","0.9957000017166138","0.9957000017166138","0.9957000017166138","0.04470000043511391","0.04470000043511391","0.04470000043511391","0.8161999583244324","0.8161999583244324","0.8161999583244324","0.9997999668121338","0.9997999668121338","0.9997999668121338","0.9991999864578247","0.9991999864578247","0.9991999864578247","0.0429999977350235","0.0429999977350235","0.0429999977350235","0.9997999668121338","0.9997999668121338","0.9997999668121338"
"78","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.9997999668121338","0.9997999668121338","0.9997999668121338","0.045499999076128006","0.045499999076128006","0.045499999076128006","0.9997999668121338","0.9997999668121338","0.9997999668121338","0.9989999532699585","0.9989999532699585","0.9989999532699585","0.9993999600410461","0.9993999600410461","0.9993999600410461","0.0471000000834465","0.0471000000834465","0.0471000000834465","1","1","1","0.7541499733924866","0.7428999543190002","0.7653999924659729","0.7857999801635742","0.7717999815940857","0.7997999787330627","0.05849999934434891","0.0551999993622303","0.061799999326467514","0.38429999351501465","0.3775999844074249","0.39100000262260437","0.9931999742984772","0.9894999861717224","0.9968999624252319","0.9948999881744385","0.993399977684021","0.996399998664856","0.06254999712109566","0.060999996960163116","0.0640999972820282","0.7623499929904938","0.7610999941825867","0.7635999917984009","0.9976999759674072","0.9976999759674072","0.9976999759674072","0.9985999464988708","0.9985999464988708","0.9985999464988708","0.06019999831914902","0.06019999831914902","0.06019999831914902","0.8273999691009521","0.8273999691009521","0.8273999691009521","0.9971999526023865","0.9971999526023865","0.9971999526023865","0.9979999661445618","0.9979999661445618","0.9979999661445618","0.048499997705221176","0.048499997705221176","0.048499997705221176","0.8183000087738037","0.8183000087738037","0.8183000087738037","0.9997999668121338","0.9997999668121338","0.9997999668121338","0.9993999600410461","0.9993999600410461","0.9993999600410461","0.04609999805688858","0.04609999805688858","0.04609999805688858","1","1","1"
"89","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.04490000009536743","0.04490000009536743","0.04490000009536743","1","1","1","0.9995999932289124","0.9995999932289124","0.9995999932289124","0.9995999932289124","0.9995999932289124","0.9995999932289124","0.046799998730421066","0.046799998730421066","0.046799998730421066","1","1","1","0.8812499940395355","0.8725000023841858","0.8899999856948853","0.9074999690055847","0.8994999527931213","0.9154999852180481","0.06960000097751617","0.06480000168085098","0.07440000027418137","0.44099998474121094","0.43539997935295105","0.4465999901294708","0.9980499744415283","0.9978999495506287","0.998199999332428","0.998449981212616","0.9980999827384949","0.9987999796867371","0.0713999979197979","0.07090000063180923","0.07189999520778656","0.7674499750137329","0.7665999531745911","0.7682999968528748","0.9973999857902527","0.9973999857902527","0.9973999857902527","0.9991999864578247","0.9991999864578247","0.9991999864578247","0.06780000030994415","0.06780000030994415","0.06780000030994415","0.8289999961853027","0.8289999961853027","0.8289999961853027","0.9985999464988708","0.9985999464988708","0.9985999464988708","0.9989999532699585","0.9989999532699585","0.9989999532699585","0.04729999974370003","0.04729999974370003","0.04729999974370003","0.818399965763092","0.818399965763092","0.818399965763092","1","1","1","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.044599998742341995","0.044599998742341995","0.044599998742341995","1","1","1"
"100","1","1","1","1","1","1","0.04609999805688858","0.04609999805688858","0.04609999805688858","1","1","1","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.046299997717142105","0.046299997717142105","0.046299997717142105","1","1","1","0.955299973487854","0.9542999863624573","0.9562999606132507","0.9669499695301056","0.9644999504089355","0.9693999886512756","0.0916999988257885","0.0828000009059906","0.1005999967455864","0.47884999215602875","0.47049999237060547","0.487199991941452","0.9992999732494354","0.9988999962806702","0.9996999502182007","0.99959996342659","0.9994999766349792","0.9996999502182007","0.08294999971985817","0.08009999990463257","0.08579999953508377","0.7702999711036682","0.7685999870300293","0.7719999551773071","0.9991999864578247","0.9991999864578247","0.9991999864578247","0.9996999502182007","0.9996999502182007","0.9996999502182007","0.0731000006198883","0.0731000006198883","0.0731000006198883","0.8291999697685242","0.8291999697685242","0.8291999697685242","0.9997999668121338","0.9997999668121338","0.9997999668121338","0.9997999668121338","0.9997999668121338","0.9997999668121338","0.05159999802708626","0.05159999802708626","0.05159999802708626","0.8197999596595764","0.8197999596595764","0.8197999596595764","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.9998999834060669","0.045399997383356094","0.045399997383356094","0.045399997383356094","1","1","1"
