"Step","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MAX"
"1","0.02149999886751175","0.02149999886751175","0.02149999886751175"
"12","0.023399999365210533","0.023399999365210533","0.023399999365210533"
"23","0.02449999935925007","0.02449999935925007","0.02449999935925007"
"34","0.02669999934732914","0.02669999934732914","0.02669999934732914"
"45","0.02759999968111515","0.02759999968111515","0.02759999968111515"
"56","0.028599999845027924","0.028599999845027924","0.028599999845027924"
"67","0.03139999881386757","0.03139999881386757","0.03139999881386757"
"78","0.033900000154972076","0.033900000154972076","0.033900000154972076"
"89","0.03579999879002571","0.03579999879002571","0.03579999879002571"
"100","0.03799999877810478","0.03799999877810478","0.03799999877810478"
"111","0.04010000079870224","0.04010000079870224","0.04010000079870224"
"122","0.04259999841451645","0.04259999841451645","0.04259999841451645"
"133","0.04490000009536743","0.04490000009536743","0.04490000009536743"
"144","0.04659999907016754","0.04659999907016754","0.04659999907016754"
"155","0.049799997359514236","0.049799997359514236","0.049799997359514236"
"166","0.051899999380111694","0.051899999380111694","0.051899999380111694"
"177","0.05469999834895134","0.05469999834895134","0.05469999834895134"
"188","0.056699998676776886","0.056699998676776886","0.056699998676776886"
"199","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"210","0.06279999762773514","0.06279999762773514","0.06279999762773514"
"221","0.06529999524354935","0.06529999524354935","0.06529999524354935"
"232","0.06839999556541443","0.06839999556541443","0.06839999556541443"
"243","0.07169999927282333","0.07169999927282333","0.07169999927282333"
"254","0.07369999587535858","0.07369999587535858","0.07369999587535858"
"265","0.07599999755620956","0.07599999755620956","0.07599999755620956"
"276","0.07999999821186066","0.07999999821186066","0.07999999821186066"
"287","0.08309999853372574","0.08309999853372574","0.08309999853372574"
"298","0.08609999716281891","0.08609999716281891","0.08609999716281891"
"309","0.08839999884366989","0.08839999884366989","0.08839999884366989"
"320","0.09219999611377716","0.09219999611377716","0.09219999611377716"
"331","0.09380000084638596","0.09380000084638596","0.09380000084638596"
