"Step","305 ic1_acc","Readout, CN=3, B0=0, B1=5, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=3, B0=0, B1=5, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MAX","305 iw_acc","Readout, CN=3, B0=0, B1=5, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - iw_acc__MIN","Readout, CN=3, B0=0, B1=5, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - iw_acc__MAX","203 ic1_acc","Readout, CN=2, B0=0, B1=3, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=2, B0=0, B1=3, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MAX","203 iw_acc","Readout, CN=2, B0=0, B1=3, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - iw_acc__MIN","Readout, CN=2, B0=0, B1=3, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - iw_acc__MAX","200 ic1_acc","Readout, CN=2, B0=0, B1=0, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=2, B0=0, B1=0, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MAX","200 iw_acc","Readout, CN=2, B0=0, B1=0, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - iw_acc__MIN","Readout, CN=2, B0=0, B1=0, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - iw_acc__MAX","234 ic1_acc","Readout, CN=2, B0=3, B1=4, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=2, B0=3, B1=4, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MAX","234 iw_acc","Readout, CN=2, B0=3, B1=4, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - iw_acc__MIN","Readout, CN=2, B0=3, B1=4, K=1280, L=320, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - iw_acc__MAX"
"1","","","","0.003999999724328518","0.003999999724328518","0.003999999724328518","0.0032999999821186066","0.0032999999821186066","0.0032999999821186066","0.0031999999191612005","0.0031999999191612005","0.0031999999191612005","0.003399999812245369","0.003399999812245369","0.003399999812245369","0.002749999985098839","0.002199999988079071","0.0032999999821186066","0.0032499998342245817","0.0030999998562037945","0.003399999812245369","0.0024999999441206455","0.0024999999441206455","0.0024999999441206455"
"12","0.004900000058114529","0.004900000058114529","0.004900000058114529","","","","","","","","","","","","","0.002749999985098839","0.002199999988079071","0.0032999999821186066","0.0031999999191612005","0.0031999999191612005","0.0031999999191612005","0.0026000000070780516","0.0026000000070780516","0.0026000000070780516"
"23","","","","0.003999999724328518","0.003999999724328518","0.003999999724328518","","","","0.0031999999191612005","0.0031999999191612005","0.0031999999191612005","0.003499999875202775","0.003399999812245369","0.003599999938160181","","","","0.003599999938160181","0.003599999938160181","0.003599999938160181","0.0024999999441206455","0.0024999999441206455","0.0024999999441206455"
"34","0.004900000058114529","0.004900000058114529","0.004900000058114529","0.003999999724328518","0.003999999724328518","0.003999999724328518","0.003399999812245369","0.003399999812245369","0.003399999812245369","0.0031999999191612005","0.0031999999191612005","0.0031999999191612005","0.003549999906681478","0.003399999812245369","0.003700000001117587","0.002699999953620136","0.002099999925121665","0.0032999999821186066","0.003399999928660691","0.0031999999191612005","0.003599999938160181","0.0026000000070780516","0.0026000000070780516","0.0026000000070780516"
"45","0.004900000058114529","0.004900000058114529","0.004900000058114529","0.003999999724328518","0.003999999724328518","0.003999999724328518","","","","","","","0.003599999938160181","0.003599999938160181","0.003599999938160181","","","","0.0038999998942017555","0.0038999998942017555","0.0038999998942017555","0.0025499999755993485","0.0024999999441206455","0.0026000000070780516"
"56","","","","","","","0.003399999812245369","0.003399999812245369","0.003399999812245369","0.0031999999191612005","0.0031999999191612005","0.0031999999191612005","0.003599999938160181","0.003499999875202775","0.003700000001117587","0.002699999953620136","0.002099999925121665","0.0032999999821186066","0.0031999999191612005","0.0031999999191612005","0.0031999999191612005","0.0026000000070780516","0.0026000000070780516","0.0026000000070780516"
"67","0.004900000058114529","0.004900000058114529","0.004900000058114529","","","","","","","","","","0.003700000001117587","0.003700000001117587","0.003700000001117587","0.002699999953620136","0.002099999925121665","0.0032999999821186066","0.0031999999191612005","0.0031999999191612005","0.0031999999191612005","0.0025499999755993485","0.0024999999441206455","0.0026000000070780516"
"78","0.004900000058114529","0.004900000058114529","0.004900000058114529","","","","","","","","","","","","","0.002699999953620136","0.002099999925121665","0.0032999999821186066","0.0031999999191612005","0.0031999999191612005","0.0031999999191612005","","",""
"89","0.004900000058114529","0.004900000058114529","0.004900000058114529","0.003999999724328518","0.003999999724328518","0.003999999724328518","","","","","","","","","","","","","0.003999999724328518","0.003999999724328518","0.003999999724328518","0.0024999999441206455","0.0024999999441206455","0.0024999999441206455"
"100","","","","","","","0.003399999812245369","0.003399999812245369","0.003399999812245369","0.0032999999821186066","0.0032999999821186066","0.0032999999821186066","0.0036499998532235622","0.003499999875202775","0.0037999998312443495","","","","","","","0.0024999999441206455","0.0024999999441206455","0.0024999999441206455"
