"Step","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=1, eps=0, lamb=1e-09 - ic1_acc","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=1, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=1, eps=0, lamb=1e-09 - ic1_acc__MAX"
"1","0.03439999744296074","0.03439999744296074","0.03439999744296074"
"12","0.034699998795986176","0.034699998795986176","0.034699998795986176"
"23","0.0348999984562397","0.0348999984562397","0.0348999984562397"
"34","0.035499997437000275","0.035499997437000275","0.035499997437000275"
"45","0.035999998450279236","0.035999998450279236","0.035999998450279236"
"56","0.03629999980330467","0.03629999980330467","0.03629999980330467"
"67","0.03720000013709068","0.03720000013709068","0.03720000013709068"
"78","0.03790000081062317","0.03790000081062317","0.03790000081062317"
"89","0.03849999979138374","0.03849999979138374","0.03849999979138374"
"100","0.03929999843239784","0.03929999843239784","0.03929999843239784"
"111","0.03969999775290489","0.03969999775290489","0.03969999775290489"
"122","0.04019999876618385","0.04019999876618385","0.04019999876618385"
"133","0.04050000011920929","0.04050000011920929","0.04050000011920929"
"144","0.0405999980866909","0.0405999980866909","0.0405999980866909"
"155","0.04089999943971634","0.04089999943971634","0.04089999943971634"
"166","0.04099999740719795","0.04099999740719795","0.04099999740719795"
"177","0.0414000004529953","0.0414000004529953","0.0414000004529953"
"188","0.04209999740123749","0.04209999740123749","0.04209999740123749"
"199","0.042799998074769974","0.042799998074769974","0.042799998074769974"
"210","0.044199999421834946","0.044199999421834946","0.044199999421834946"
"221","0.044199999421834946","0.044199999421834946","0.044199999421834946"
"232","0.04470000043511391","0.04470000043511391","0.04470000043511391"
"243","0.04519999772310257","0.04519999772310257","0.04519999772310257"
"254","0.045399997383356094","0.045399997383356094","0.045399997383356094"
"265","0.04529999941587448","0.04529999941587448","0.04529999941587448"
"276","0.04580000042915344","0.04580000042915344","0.04580000042915344"
"287","0.04659999907016754","0.04659999907016754","0.04659999907016754"
"298","0.0471000000834465","0.0471000000834465","0.0471000000834465"
"309","0.04769999906420708","0.04769999906420708","0.04769999906420708"
"320","0.04820000007748604","0.04820000007748604","0.04820000007748604"
"331","0.04910000041127205","0.04910000041127205","0.04910000041127205"
"342","0.048899997025728226","0.048899997025728226","0.048899997025728226"
"353","0.050200000405311584","0.050200000405311584","0.050200000405311584"
"364","0.05089999735355377","0.05089999735355377","0.05089999735355377"
"375","0.05130000039935112","0.05130000039935112","0.05130000039935112"
"386","0.05169999971985817","0.05169999971985817","0.05169999971985817"
"397","0.05199999734759331","0.05199999734759331","0.05199999734759331"
"408","0.05219999700784683","0.05219999700784683","0.05219999700784683"
"419","0.05309999734163284","0.05309999734163284","0.05309999734163284"
"430","0.05480000004172325","0.05480000004172325","0.05480000004172325"
"441","0.05480000004172325","0.05480000004172325","0.05480000004172325"
"452","0.055399999022483826","0.055399999022483826","0.055399999022483826"
"463","0.05549999698996544","0.05549999698996544","0.05549999698996544"
"474","0.05649999901652336","0.05649999901652336","0.05649999901652336"
"485","0.05779999867081642","0.05779999867081642","0.05779999867081642"
"496","0.058399997651576996","0.058399997651576996","0.058399997651576996"
"507","0.05900000035762787","0.05900000035762787","0.05900000035762787"
"518","0.059699997305870056","0.059699997305870056","0.059699997305870056"
"529","0.06069999933242798","0.06069999933242798","0.06069999933242798"
"540","0.06119999662041664","0.06119999662041664","0.06119999662041664"
"551","0.06229999661445618","0.06229999661445618","0.06229999661445618"
"562","0.06309999525547028","0.06309999525547028","0.06309999525547028"
"573","0.06369999796152115","0.06369999796152115","0.06369999796152115"
"584","0.06439999490976334","0.06439999490976334","0.06439999490976334"
"595","0.06529999524354935","0.06529999524354935","0.06529999524354935"
"606","0.06549999862909317","0.06549999862909317","0.06549999862909317"
"617","0.06669999659061432","0.06669999659061432","0.06669999659061432"
"628","0.06650000065565109","0.06650000065565109","0.06650000065565109"
"639","0.06749999523162842","0.06749999523162842","0.06749999523162842"
"650","0.06839999556541443","0.06839999556541443","0.06839999556541443"
"661","0.06879999488592148","0.06879999488592148","0.06879999488592148"
"672","0.06989999860525131","0.06989999860525131","0.06989999860525131"
"683","0.07019999623298645","0.07019999623298645","0.07019999623298645"
"694","0.07019999623298645","0.07019999623298645","0.07019999623298645"
"705","0.07090000063180923","0.07090000063180923","0.07090000063180923"
"716","0.07149999588727951","0.07149999588727951","0.07149999588727951"
"727","0.07229999452829361","0.07229999452829361","0.07229999452829361"
"738","0.07239999622106552","0.07239999622106552","0.07239999622106552"
"749","0.07329999655485153","0.07329999655485153","0.07329999655485153"
"760","0.0738999992609024","0.0738999992609024","0.0738999992609024"
"771","0.07479999959468842","0.07479999959468842","0.07479999959468842"
"782","0.07490000128746033","0.07490000128746033","0.07490000128746033"
"793","0.07490000128746033","0.07490000128746033","0.07490000128746033"
