"Step","Readout, CN=9, B0=9, B1=9, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc","Readout, CN=9, B0=9, B1=9, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=9, B0=9, B1=9, K=128, L=32, N=8, p_B=0.75, p_C=0.75, B=2, eps=0, lamb=1e-09 - ic1_acc__MAX"
"1","0.04019999876618385","0.04019999876618385","0.04019999876618385"
"12","0.040300000458955765","0.040300000458955765","0.040300000458955765"
"23","0.0405999980866909","0.0405999980866909","0.0405999980866909"
"34","0.040699999779462814","0.040699999779462814","0.040699999779462814"
"45","0.0414000004529953","0.0414000004529953","0.0414000004529953"
"56","0.041600000113248825","0.041600000113248825","0.041600000113248825"
"67","0.04189999774098396","0.04189999774098396","0.04189999774098396"
"78","0.04209999740123749","0.04209999740123749","0.04209999740123749"
"89","0.04230000078678131","0.04230000078678131","0.04230000078678131"
"100","0.042899999767541885","0.042899999767541885","0.042899999767541885"
"111","0.04319999739527702","0.04319999739527702","0.04319999739527702"
"122","0.04429999738931656","0.04429999738931656","0.04429999738931656"
"133","0.044199999421834946","0.044199999421834946","0.044199999421834946"
"144","0.044599998742341995","0.044599998742341995","0.044599998742341995"
"155","0.04479999840259552","0.04479999840259552","0.04479999840259552"
"166","0.045099999755620956","0.045099999755620956","0.045099999755620956"
"177","0.04519999772310257","0.04519999772310257","0.04519999772310257"
"188","0.04580000042915344","0.04580000042915344","0.04580000042915344"
"199","0.04609999805688858","0.04609999805688858","0.04609999805688858"
"210","0.04639999940991402","0.04639999940991402","0.04639999940991402"
"221","0.046299997717142105","0.046299997717142105","0.046299997717142105"
"232","0.04659999907016754","0.04659999907016754","0.04659999907016754"
"243","0.046699997037649155","0.046699997037649155","0.046699997037649155"
"254","0.046799998730421066","0.046799998730421066","0.046799998730421066"
"265","0.04699999839067459","0.04699999839067459","0.04699999839067459"
"276","0.04769999906420708","0.04769999906420708","0.04769999906420708"
"287","0.04809999838471413","0.04809999838471413","0.04809999838471413"
"298","0.04820000007748604","0.04820000007748604","0.04820000007748604"
"309","0.04879999905824661","0.04879999905824661","0.04879999905824661"
"320","0.04969999939203262","0.04969999939203262","0.04969999939203262"
"331","0.05009999871253967","0.05009999871253967","0.05009999871253967"
"342","0.04969999939203262","0.04969999939203262","0.04969999939203262"
"353","0.05009999871253967","0.05009999871253967","0.05009999871253967"
"364","0.05009999871253967","0.05009999871253967","0.05009999871253967"
"375","0.05069999769330025","0.05069999769330025","0.05069999769330025"
"386","0.05119999870657921","0.05119999870657921","0.05119999870657921"
"397","0.05159999802708626","0.05159999802708626","0.05159999802708626"
"408","0.051899999380111694","0.051899999380111694","0.051899999380111694"
"419","0.05209999904036522","0.05209999904036522","0.05209999904036522"
"430","0.05299999937415123","0.05299999937415123","0.05299999937415123"
"441","0.05339999869465828","0.05339999869465828","0.05339999869465828"
"452","0.05379999801516533","0.05379999801516533","0.05379999801516533"
"463","0.05419999733567238","0.05419999733567238","0.05419999733567238"
"474","0.05509999766945839","0.05509999766945839","0.05509999766945839"
"485","0.05570000037550926","0.05570000037550926","0.05570000037550926"
"496","0.05700000002980232","0.05700000002980232","0.05700000002980232"
"507","0.057099997997283936","0.057099997997283936","0.057099997997283936"
"518","0.057999998331069946","0.057999998331069946","0.057999998331069946"
"529","0.05859999731183052","0.05859999731183052","0.05859999731183052"
"540","0.05920000001788139","0.05920000001788139","0.05920000001788139"
"551","0.059699997305870056","0.059699997305870056","0.059699997305870056"
"562","0.06069999933242798","0.06069999933242798","0.06069999933242798"
"573","0.06119999662041664","0.06119999662041664","0.06119999662041664"
"584","0.06209999695420265","0.06209999695420265","0.06209999695420265"
"595","0.06260000169277191","0.06260000169277191","0.06260000169277191"
"606","0.0632999986410141","0.0632999986410141","0.0632999986410141"
"617","0.06359999626874924","0.06359999626874924","0.06359999626874924"
"628","0.06419999897480011","0.06419999897480011","0.06419999897480011"
"639","0.06480000168085098","0.06480000168085098","0.06480000168085098"
"650","0.065700002014637","0.065700002014637","0.065700002014637"
"661","0.06599999964237213","0.06599999964237213","0.06599999964237213"
"672","0.06709999591112137","0.06709999591112137","0.06709999591112137"
"683","0.06759999692440033","0.06759999692440033","0.06759999692440033"
"694","0.06809999793767929","0.06809999793767929","0.06809999793767929"
"705","0.0681999996304512","0.0681999996304512","0.0681999996304512"
"716","0.06859999895095825","0.06859999895095825","0.06859999895095825"
"727","0.0689999982714653","0.0689999982714653","0.0689999982714653"
"738","0.06929999589920044","0.06929999589920044","0.06929999589920044"
"749","0.06949999928474426","0.06949999928474426","0.06949999928474426"
"760","0.07009999454021454","0.07009999454021454","0.07009999454021454"
"771","0.07029999792575836","0.07029999792575836","0.07029999792575836"
"782","0.07119999825954437","0.07119999825954437","0.07119999825954437"
"793","0.0722000002861023","0.0722000002861023","0.0722000002861023"
"804","0.07289999723434448","0.07289999723434448","0.07289999723434448"
"815","0.07360000163316727","0.07360000163316727","0.07360000163316727"
"826","0.07429999858140945","0.07429999858140945","0.07429999858140945"
"837","0.0746999979019165","0.0746999979019165","0.0746999979019165"
"848","0.07569999992847443","0.07569999992847443","0.07569999992847443"
"859","0.07639999687671661","0.07639999687671661","0.07639999687671661"
"870","0.07660000026226044","0.07660000026226044","0.07660000026226044"
"881","0.07750000059604645","0.07750000059604645","0.07750000059604645"
"892","0.07769999653100967","0.07769999653100967","0.07769999653100967"
"903","0.07880000025033951","0.07880000025033951","0.07880000025033951"
"914","0.07970000058412552","0.07970000058412552","0.07970000058412552"
"925","0.0803999975323677","0.0803999975323677","0.0803999975323677"
"936","0.08100000023841858","0.08100000023841858","0.08100000023841858"
"947","0.08159999549388885","0.08159999549388885","0.08159999549388885"
