"Step","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=16, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=16, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc__MIN","Readout, CN=2, B0=0, B1=0, K=128, L=32, N=16, p_B=0.75, p_C=0.75, B=4, eps=0, lamb=1e-09 - ic1_acc__MAX"
"1","0.03370000049471855","0.03370000049471855","0.03370000049471855"
"12","0.03539999946951866","0.03539999946951866","0.03539999946951866"
"23","0.037299998104572296","0.037299998104572296","0.037299998104572296"
"34","0.03959999978542328","0.03959999978542328","0.03959999978542328"
"45","0.04149999842047691","0.04149999842047691","0.04149999842047691"
"56","0.04319999739527702","0.04319999739527702","0.04319999739527702"
"67","0.045399997383356094","0.045399997383356094","0.045399997383356094"
"78","0.047599997371435165","0.047599997371435165","0.047599997371435165"
"89","0.04919999837875366","0.04919999837875366","0.04919999837875366"
"100","0.05219999700784683","0.05219999700784683","0.05219999700784683"
"111","0.053999997675418854","0.053999997675418854","0.053999997675418854"
"122","0.055799998342990875","0.055799998342990875","0.055799998342990875"
"133","0.058399997651576996","0.058399997651576996","0.058399997651576996"
"144","0.06069999933242798","0.06069999933242798","0.06069999933242798"
"155","0.06269999593496323","0.06269999593496323","0.06269999593496323"
"166","0.06560000032186508","0.06560000032186508","0.06560000032186508"
"177","0.06870000064373016","0.06870000064373016","0.06870000064373016"
"188","0.07079999893903732","0.07079999893903732","0.07079999893903732"
"199","0.07419999688863754","0.07419999688863754","0.07419999688863754"
"210","0.07660000026226044","0.07660000026226044","0.07660000026226044"
"221","0.07939999550580978","0.07939999550580978","0.07939999550580978"
"232","0.08169999718666077","0.08169999718666077","0.08169999718666077"
"243","0.08479999750852585","0.08479999750852585","0.08479999750852585"
"254","0.08729999512434006","0.08729999512434006","0.08729999512434006"
"265","0.08959999680519104","0.08959999680519104","0.08959999680519104"
"276","0.09239999949932098","0.09239999949932098","0.09239999949932098"
"287","0.09510000050067902","0.09510000050067902","0.09510000050067902"
"298","0.09769999980926514","0.09769999980926514","0.09769999980926514"
"309","0.10159999877214432","0.10159999877214432","0.10159999877214432"
"320","0.1054999977350235","0.1054999977350235","0.1054999977350235"
"331","0.10969999432563782","0.10969999432563782","0.10969999432563782"
"342","0.11309999972581863","0.11309999972581863","0.11309999972581863"
